id,sra_id,output
homo_sapiens_indrop_transplant_kidney_srr6506827,SRR6506827,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_transplant_kidney_srr6506828,SRR6506828,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_transplant_kidney_srr6506829,SRR6506829,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_transplant_kidney_srr6506830,SRR6506830,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_transplant_kidney_srr6506831,SRR6506831,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_transplant_kidney_srr6506832,SRR6506832,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_transplant_kidney_srr6506833,SRR6506833,s3://olgabot-maca/sra/homo_sapiens/indrop/transplant_kidney_prjna431401/
homo_sapiens_indrop_human_kidney_srr7130925,SRR7130925,s3://olgabot-maca/sra/homo_sapiens/indrop/human_kidney_prjna464435/
danio_rerio_indrop_whole_kidney_marrow_srr5810670,SRR5810670,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810671,SRR5810671,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810672,SRR5810672,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810673,SRR5810673,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810674,SRR5810674,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810675,SRR5810675,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810676,SRR5810676,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810677,SRR5810677,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810678,SRR5810678,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810679,SRR5810679,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810680,SRR5810680,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810681,SRR5810681,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810682,SRR5810682,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810683,SRR5810683,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810684,SRR5810684,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_indrop_whole_kidney_marrow_srr5810685,SRR5810685,s3://olgabot-maca/sra/danio_rerio/indrop/whole_kidney_marrow_prjna393429/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810686,SRR5810686,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810687,SRR5810687,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810688,SRR5810688,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810689,SRR5810689,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810690,SRR5810690,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810691,SRR5810691,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810692,SRR5810692,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810693,SRR5810693,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810694,SRR5810694,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810695,SRR5810695,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810696,SRR5810696,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810697,SRR5810697,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810698,SRR5810698,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810699,SRR5810699,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810700,SRR5810700,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810701,SRR5810701,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810702,SRR5810702,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810703,SRR5810703,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810704,SRR5810704,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810705,SRR5810705,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810706,SRR5810706,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810707,SRR5810707,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810708,SRR5810708,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810709,SRR5810709,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810710,SRR5810710,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810711,SRR5810711,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810712,SRR5810712,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810713,SRR5810713,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810714,SRR5810714,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810715,SRR5810715,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810716,SRR5810716,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810717,SRR5810717,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810718,SRR5810718,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810719,SRR5810719,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810720,SRR5810720,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810721,SRR5810721,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810722,SRR5810722,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810723,SRR5810723,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810724,SRR5810724,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810725,SRR5810725,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810726,SRR5810726,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810727,SRR5810727,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810728,SRR5810728,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810729,SRR5810729,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810730,SRR5810730,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810731,SRR5810731,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810732,SRR5810732,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810733,SRR5810733,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810734,SRR5810734,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810735,SRR5810735,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810736,SRR5810736,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810737,SRR5810737,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810738,SRR5810738,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810739,SRR5810739,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810740,SRR5810740,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810741,SRR5810741,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810742,SRR5810742,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810743,SRR5810743,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810744,SRR5810744,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810745,SRR5810745,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810746,SRR5810746,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810747,SRR5810747,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810748,SRR5810748,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810749,SRR5810749,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810750,SRR5810750,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810751,SRR5810751,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810752,SRR5810752,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810753,SRR5810753,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810754,SRR5810754,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810755,SRR5810755,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810756,SRR5810756,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810757,SRR5810757,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810758,SRR5810758,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810759,SRR5810759,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810760,SRR5810760,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810761,SRR5810761,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810762,SRR5810762,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810763,SRR5810763,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810764,SRR5810764,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810765,SRR5810765,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810766,SRR5810766,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810767,SRR5810767,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810768,SRR5810768,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810769,SRR5810769,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810770,SRR5810770,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810771,SRR5810771,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810772,SRR5810772,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810773,SRR5810773,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810774,SRR5810774,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810775,SRR5810775,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810776,SRR5810776,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810777,SRR5810777,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810778,SRR5810778,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810779,SRR5810779,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810780,SRR5810780,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810781,SRR5810781,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810782,SRR5810782,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810783,SRR5810783,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810784,SRR5810784,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810785,SRR5810785,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810786,SRR5810786,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810787,SRR5810787,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810788,SRR5810788,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810789,SRR5810789,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810790,SRR5810790,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810791,SRR5810791,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810792,SRR5810792,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810793,SRR5810793,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810794,SRR5810794,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810795,SRR5810795,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810796,SRR5810796,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810797,SRR5810797,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810798,SRR5810798,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810799,SRR5810799,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810800,SRR5810800,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810801,SRR5810801,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
danio_rerio_smart-seq_whole_kidney_marrow_srr5810802,SRR5810802,s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/
