id,database_name,ignore_abundance,ksize,sequence_to_compare,database,signature,output
A1-B000610-3_56_F-1-1_tabula-muris-k21-dna_ignore-abundance=True,tabula-muris-k21-dna,True,21,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k21-dna/tabula-muris-k21-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k21-dna_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k21-dna_ignore-abundance=False,tabula-muris-k21-dna,False,21,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k21-dna/tabula-muris-k21-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k21-dna_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k21-protein_ignore-abundance=True,tabula-muris-k21-protein,True,21,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k21-protein/tabula-muris-k21-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k21-protein_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k21-protein_ignore-abundance=False,tabula-muris-k21-protein,False,21,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k21-protein/tabula-muris-k21-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k21-protein_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k27-dna_ignore-abundance=True,tabula-muris-k27-dna,True,27,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k27-dna/tabula-muris-k27-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k27-dna_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k27-dna_ignore-abundance=False,tabula-muris-k27-dna,False,27,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k27-dna/tabula-muris-k27-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k27-dna_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k27-protein_ignore-abundance=True,tabula-muris-k27-protein,True,27,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k27-protein/tabula-muris-k27-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k27-protein_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k27-protein_ignore-abundance=False,tabula-muris-k27-protein,False,27,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k27-protein/tabula-muris-k27-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k27-protein_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k33-dna_ignore-abundance=True,tabula-muris-k33-dna,True,33,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k33-dna/tabula-muris-k33-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k33-dna_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k33-dna_ignore-abundance=False,tabula-muris-k33-dna,False,33,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k33-dna/tabula-muris-k33-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k33-dna_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k33-protein_ignore-abundance=True,tabula-muris-k33-protein,True,33,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k33-protein/tabula-muris-k33-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k33-protein_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k33-protein_ignore-abundance=False,tabula-muris-k33-protein,False,33,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k33-protein/tabula-muris-k33-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k33-protein_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k51-dna_ignore-abundance=True,tabula-muris-k51-dna,True,51,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k51-dna/tabula-muris-k51-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k51-dna_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k51-dna_ignore-abundance=False,tabula-muris-k51-dna,False,51,dna,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k51-dna/tabula-muris-k51-dna/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k51-dna_ignore-abundance=False.csv
A1-B000610-3_56_F-1-1_tabula-muris-k51-protein_ignore-abundance=True,tabula-muris-k51-protein,True,51,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k51-protein/tabula-muris-k51-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k51-protein_ignore-abundance=True.csv
A1-B000610-3_56_F-1-1_tabula-muris-k51-protein_ignore-abundance=False,tabula-muris-k51-protein,False,51,protein,s3://olgabot-maca/facs/sourmash_index_all//tabula-muris-k51-protein/tabula-muris-k51-protein/,s3://olgabot-maca/facs/sourmash_compute_all/{cell}.sig,s3://olgabot-maca/facs/sourmash_search/A1-B000610-3_56_F-1-1_tabula-muris-k51-protein_ignore-abundance=False.csv
